Brand,Model,Product Type,Processor Brand,Processor Model,CPU Cores,Processor Speed (GHz),Processor Max Speed,RAM (GB),RAM Type,Storage Type,Storage Size (GB),Operating System,Screen Size (inches),Screen Definition,Resolution,Graphics Card Type,Camera Resolution (MP),Type,Bluetooth,Ethernet,HDMI,USB,Wireless Ready,Weight (kg),Product Height (cm),Product Width (cm),Product Depth (cm),Price (RM)
Microsoft,"Surface Laptop 3 13.5"" (VGY-00016)",Surface Laptop,Intel,Core i5-1035G7,4,1.2,3.7 GHz,8,LPDDR4x,SSD,128,Windows 10 Home,13.5,,2256 x 1504,Intel Iris Plus Graphics G7 (Ice Lake 64 EU),720p HD,PixelSense,Bluetooth 5.0,,,"1 x USB-C, 1 x USB 3.0",Wi-Fi 6: 802.11ax compatible,1.265,22.3cm,30.8cm,1.45cm,3999
Lenovo,Thinkpad T490 (20RYS0MD00),Laptop,Intel,Core i5-10210U,4,1.6,4.2 GHz,8,DDR4-2400 DDR4 SDRAM 2400MHz,SSD PCIe,256,Windows 10 Pro 64,14, Full HD ,1366 x 768,Intel UHD Graphics 620,720p HD Camera,"IPS, Anti-Glare, 250nits",Bluetooth 5.0,1 x RJ-45,1 x HDMI 1.4b,"1 x USB Type-C (3.2 Gen 1, Thunderbolt 3, DP and PD Function), 1 x USB Type-C (3.1 Gen 1, DP and PD Function), 2 x USB Type-A (3.1 Gen 1, Always On)",Intel Wi-Fi 6 AX201 2x2 AX,1.46,1.89cm,32.9cm,22.7cm,3659
Acer,Swift 5 (SF514-54GT-53FE),Laptop,Intel,Core i5-1035G1,4,1.0,3.6 GHz,8, LPDDR4,SSD,512,Windows 10 Home,14, Full HD , 1920 x 1080,NVIDIA GeForce MX350,HD,CineCrystal IPS LED-backlit Display,Bluetooth 5.0,,1 x HDMI,"1 x USB Type-C (3.1 Gen 1), 1 x USB Type-A (3.1 Gen 1), 1 x USB Type-A (2.0)",IEEE 802.11 a/b/g/n/ac/ax,0.99,1.5cm,31.87cm,21.05cm,3997
Microsoft,Surface Laptop 4 (5PB-00018),Surface Laptop,,Ryzen 5 4680U,6,2.1,4.0 GHz,8,LPDDR4x RAM,SSD,256,Windows 10 Home,13.5,,2256 x 1504,AMD Radeon RX Vega 6,720p HD f2.0,"3:2 Aspect Ratio, 10 point multi-touch, PixelSense Display",Bluetooth 5.0,,,"1 x USB Type-C, 1 x USB Type-A",Wi-Fi 6: 802.11ax compatible,1.265,1.45cm,30.8cm,22.3cm,4599
Acer,Swift 3 (SF314-43-R6WW),Laptop,AMD,Ryzen 5 5500U,6,2.1,4.0 GHz,8,LPDDR4X,PCIe NVMe SSD,512,Windows 10 Home 64,14, Full HD ,1920 x 1080,AMD Radeon RX Vega 7,280 x 720,"IPS (In-Plane Switching) technology , high-brightness (300 nits), Acer ComfyView, LED-backlit TFT LCD, 16:9 aspect ratio, 45% NTSC color gamut",Bluetooth 5.0,,1 x HDMI,"1 x USB Type-C (3.1 Gen 1), 1 x USB Type-A (3.1 Gen 1), 1 x USB Type-A (2.0)",Intel Wireless Wi-Fi 6 AX201 supporting dual band 2.4Ghz & 5Ghz,1.2,1.6cm,31.95cm,21.7cm,3399
Huawei,MateBook 13,Laptop,Intel,Core i5-8565U,4,1.80,4.6 GHz,8, LPDDR3 2133MHz,PCIe SSD,512,No Operating System,13,FHD+, 2160 x 1440,NVIDIA GeForce MX250,,,Bluetooth 5.0,,,2 x USB Type-C,IEEE 802.11a/b/g/n/ac,1.28,1.49cm,28.6cm,21.1cm,3999
Huawei,53011PVM,Notebooks,Intel,Core i5-1135G7,4,2.4,4.2 GHz,16,DDR4 3222 MHZ,SSD,512,Windows 10 Home 64,"14""",,2160 x 1440,Intel Iris Xe Graphics G7 80EUs, 720P HD Recessed camera,,Bluetooth 5.0,,1 x HDMI 1.4," 1 x USB Type-C (Supports data, charging and DisplayPort), 2 x USB Type-A (3.2 Gen 1)",WiFi 6.0,1.5,1.59cm,30.6cm,22.2cm,4497
HP,HP Spectre x360 Convertible (14-ea0054TU),2-in-1 Laptops,Intel,Core i7-1165G7,4,2.8,4.7 GHz,16,LPDDR4x-4266 SDRAM,PCIe NVMe TLC SSD,1 TB,Windows 10 Home 64,13.5, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 96EUs,HD,Touchscreen FPR HP Sure View integrated privacy screen,Bluetooth 5.0,,,"2 x USB Type-C (Thunderbolt 4 with USB4, 40Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed USB 10Gbps signaling rate, HP Sleep and Charge)",Intel Wi-Fi 6 AX 201 (2x2) ,1.34,1.69cm,29.83cm,22.01cm,7099
HP,Envy 15-EP0009TX,Laptop,Intel,Core i5-10300H,4,2.5,4.5 GHz,16,DDR4-2933 SDRAM, PCIe NVMe M.2 SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,Intel UHD Graphics 630,HD,"Multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 400 nits, 100% sRGB",Bluetooth 5.0, Fast Ethernet 10/100/1000 Base-TX Network Port,1 x HDMI 2.0a,"2 x USB Type-C (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (HP Sleep and Charge), 1 x USB Type-A",Intel Wi-Fi 6 AX201 (2x2),2.14,1.84cm,35.79cm,23.68cm,5799
Huawei,MateBook X Pro,Laptop,Intel,Core i7-8550U,4,1.9,4.2 GHz,16,LPDDR3 2133 MHz,,,Windows 10 Home,13.9,,3000 x 2000,NVIDIA GeForce MX150,1,LTPS,Bluetooth 4.1,,,"1 x USB Type-C Thunderbolt 3, 1 x USB Type-C, 1 x USB Type-A 3.0","EEE 802.11a/b/g/n/ac, 2.4 / 5 GHz 2 x 2 MIMO",1.33,21.7cm,30.4cm,1.46cm,6999
MSI,Modern 15 (A11SB-075),Laptop,Intel,Core i7-1165G7,4,2.8,4.7 GHz,8,DDR4-3200,NVMe PCIe Gen3x4 SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce MX450,HD type (30fps@720p),IPS-Level,Bluetooth 5.1,,1x (4K @ 60Hz),"1 x USB Type-C (USB 4.0, DisplayPort, Thunderbolt 3, PD Charging), 2 x USB Type-A (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 1)",802.11 ax Wi-Fi 6 ,1.6,1.69cm,35.68cm,23.38cm,4399
Microsoft,Surface Laptop 4 (5UI-00018),Surface Laptop,AMD,Ryzen 7 4980U,8,,4.4 GHz,8,LPDDR4x RAM,SSD,256,Windows 10 Home,15,,2496 x 1664,AMD Radeon RX Vega 8,720p HD f2.0,"3:2 Aspect Ratio, 10 point multi-touch, PixelSense Display",Bluetooth 5.0,,,"1 x USB Type-C, 1 x USB Type-A",Wi-Fi 6: 802.11ax compatible,1.542,1.47cm,33.95cm,24.4cm,5999
Lenovo,Ideapad D330 (82H0000PMJ),Laptop,Intel,Celeron N4020,2,1.1,2.8 GHz,4,LPDDR4-2133 RAM,eMMC,128,Windows 10 Pro,10.1,HD,1280 x 800,Intel UHD Graphics 600,,"IPS, 300 Nits Brightness, Anti-glare",Bluetooth 4.2,,,1 x USB Type-C (3.2 Gen 1) 2 x USB Type-A (2.0),Wi-Fi 5 (802.11ac),1.10,0.95cm,24.9cm,17.8cm,1397
Acer,Nitro 5 (AN515-56-763W),Gaming laptop,Intel,Core i7-11370H,4,3.3,4.8 GHz,8,DDR4 3200Mhz,PCIe NVMe SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce GTX 1650,HD,"144Hz display with IPS (In-Plane Switching) technology, Acer ComfyViewTM LED-backlit TFT LCD 16:9 aspect",Bluetooth 5.0,RJ45 Port,1 x HDMI,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.3,2.39cm,36.34cm,25.5cm,4499
MSI,B10RBSW-407 ,Laptop,Intel,i5-10210U ,,,,8,DR4 3200MHz,NVMe PCIe SSD,256,,14,FHD,1920 X 1080,NVIDIA Geforce® MX350 ,HD type (30fps@720p),,Bluetooh v5.0,,1x (4K @ 30Hz),, 802.11ac,1.3,1.69cm,31.9cm,22cm,3199
HP,Pavilion Aero Laptop 13-be0048AU,Laptop,AMD,Ryzen 5 5600U,6,2.3,4.2 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home Single Language 64,13.3,WUXGA,1920 x 1200,AMD Radeon RX Vega 7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, edge-to-edge glass, micro-edge, anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed USB 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3549
MSI,14EVO A11M-239,Laptop,Intel,i7-1185G7,,,,16,DDR IV,NVMe PCIe SSD,512,,14,FHD,1920x1080,Intel® Iris® Xe Graphics,IR HD type (30fps@720p),,,,,,,1.3,1.69cm,31.9cm,21.9cm,5199
Huawei,MateBook D15,Laptop,,Core i5-10210U,,1.6, 4.2 GHz,8,,SSD,512,Windows 10 Home 64,15.6, Full HD ,1920 x 1080,Intel UHD Graphics 620,1,IPS,Bluetooth 5.0,,1 x HDMI,"1 x USB Type-C, 1 x USB Type-A (3.0), 2 x USB Type-A (2.0)",WiFi 5,1.53,1.69cm,35.78cm,22.99cm,2797
MSI,Summit E13 Flip Evo (A11MT-085),Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,16,LPDDR4X,NVMe PCIe Gen4 SSD,512,Windows 10 Home,13.4,Full HD+,1920 x 1200,,IR HD type (30fps@720p),"16:10, IPS-Level, Touchscreen, Support MSI Pen",Bluetooth 5.2,,,"2 x USB Type-C (USB4, ThunderBolt 4, DisplayPort, PD Charging), 1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 1)",802.11 ax Wi-Fi 6E,1.35,1.49cm,30.02cm,22.23cm,4997
HP,245 G8,Laptop,,Ryzen 3 3300U,4,2.1,3.5 GHz,4,DDR4-PC4,SSD,256,Windows 10,14,HD,1366 x 768,AMD Radeon RX Vega 6,HD,"Micro-edge, Anti-glare, 250 nits, 45% NTSC",,1 x RJ-45,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps), 2 x USB Type-A (SuperSpeed 5 Gbps)",Realtek RTL8821CE 802.11a/b/g/n/ac (1x1) Wi-Fi,1.47,1.99cm,32.4cm,22.59cm,2199
Lenovo,ThinkPad E14 Gen 2 (AMD),Laptop,AMD,Ryzen 5 PRO 4650U,6,2.1,4 Ghz,8,DDR4 3200MHz,M.2 2242 SSD,512,Windows 10 Home 64,14, Full HD ,1920 x 1080,AMD Radeon RX Vega 6,IR & 720p HD Camera with PrivacyShutter,"IPS, 250 nits, Anti-glare",Bluetooth 5.0,1 x RJ-45,1 x HDMI,"1 x USB Type-C (3.1 Gen 1, Power Delivery, Display Port), 1 x USB Type-A (3.1 Gen 1), 1 x USB Type-A (2.0)",Realtek 8822CE 11AC (2x2),1.59,1.79cm,32.4cm,22cm,3299
Microsoft,Surface Laptop 4 (5IM-00018),Surface Laptop,Intel,Core i7-1185G7,4,3.0,4.8 GHz,16,LPDDR4x RAM,SSD,512,Windows 10 Home,15,,2496 x 1664,Intel Iris Xe Graphics G7 96EUs,720p HD f2.0,"3:2 Aspect Ratio, 10 point multi-touch, PixelSense Display",Bluetooth 5.0,,,"1 x USB Type-C, 1 x USB Type-A",Wi-Fi 6: 802.11ax compatible,1.542,1.47cm,33.95cm,24.4cm,8299
Asus,ExpertBook B9450 (B9450F-ABM0285R),Laptop,Intel,Core i5-10210 processor,4,1.6,4.2 GHz,8,2133MHz LDDR3,M.2 NVMe PCIe 3.0,512,Windows 10 Pro,14, Full HD ,1920 x 1080,  Integrated Intel UHD Graphics 620,  720p HD camera with microphone; IR camera,"LED-backlit, anti-glare screen, 300nits brightness display, Wide 100% sRGB color gamut (NTSC: 72%), IPS-level wide-view technology",Bluetooth 5.0,1 x RJ45 LAN via micro HDMI port,1 x HDMI,"2 x USB Type-C (Thunderbolt 3), 1 x USB Type-A (3.1 Gen 2)",Wi-Fi 6 (802.11ax),0.870,1.49cm,32cm,20.3cm,6599
HP,Laptop 14s-fq0058AU,Laptop,AMD,3020e,2,1.2,2.6 GHz,,,PCIe NVMe M.2 SSD,256,Windows 10 Home Single Language 64,14,HD,1366 x 768,AMD Radeon RX Vega 3,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, BrightView, 220 nits, 45% NTSC",Bluetooth 4.2,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed USB 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8821CE 802.11a/b/g/n/ac (1x1) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,1597
Acer,Chromebook Spin 311 (CP311-2HN-C61K),Notebooks,Intel, Intel® Celeron® N4100,4,,,8,LPDDR4,,64,Chrome OS™,11.6″,,1366x768,Intel® HD Graphics 600,720p HD video recording,,Bluetooth 4.0,,,,IEEE 802.11ac,1.25,1.99cm,29.6cm,20.6cm,1899
Dell,Latitude 3420,Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,3200MHz DDR4 Non-ECC,PCIe NVMe M.2 Class 35 Solid State Drive,256,Windows 10 Pro 64,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,720p,"AG Non-Touch, 250nits,",Bluetooth 5.1,1 x RJ-45,1 x HDMI 1.4a,"1 x USB Type-C (3.2 Gen 2 with DisplayPort alt mode/Power Delivery), 1 x USB Type-A (3.2 Gen 1 with PowerShare), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Intel Dual Band Wi-Fi 6 AX201 2x2 802.11ax 160MHz,1.52,1.76cm,32.6cm,22.6cm,3599
Asus,A516 (A516E-ABQ1300TS),Laptop,Intel,Core i3-i3-1115G4,2,3.0,4.1 GHz,8,DDR4 SO-DIMM,M.2 NVMe PCIe 3.0 SSD,256,Windows 10 Home,15.6, Full HD ,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,VGA Web Camera (Fixed type),"250 nits, 16:9 Anti-glare display NTSC: 45% IPS-level Panel ",Bluetooth 4.1,,1 x HDMI,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Intel Wi-Fi 5 (802.11ac),1.8,1.99cm,36.02cm,23.49cm,2599
Microsoft,Surface Laptop 4 (5EB-00018),Surface Laptop,Intel,Core i7-1185G7,4,3.0,4.8 GHz,16,LPDDR4x RAM,SSD,512,Windows 10 Home,13.5,,2256 x 1504,Intel Iris Xe Graphics G7 96EUs,720p HD f2.0,"3:2 Aspect Ratio, 10 point multi-touch, PixelSense Display",Bluetooth 5.0,,,"1 x USB Type-C, 1 x USB Type-A",Wi-Fi 6: 802.11ax compatible,1.288,1.45cm,30.8cm,22.3cm,7999
Huawei,MateBook D15,Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,,SSD,512,Windows 10 Home 64,15.6, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,1,,Bluetooth 5.1,,1 x HDMI,"1 x USB Type-C, 1 x USB Type-A (3.0), 2 x USB Type-A (2.0)",WiFi 6.0,1.53,1.69cm,35.78cm,22.99cm,3397
HP,Laptop 14S-FQ1047AU,Laptop,AMD,Ryzen 5 5500U,6,2.1,4.0 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,AMD Radeon RX Vega 7,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,2799
HP,Victus 16-E0122AX,Gaming laptop,AMD,Ryzen 5 5600H,6,3.3,4.2 GHz,8,DDR4-3200 SO-DIMM,M.2 NVMe PCIe 3.0 SSD ,512,Windows 10 Home,16.1, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,Integrated 10/100/1000 GbE LAN,1 x HDMI 2.1,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),2.47,2.35cm,37cm,26cm,3799
Acer,Enduro Urban N3 (EUN314-51W-58TL),Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,4,DDR4 SDRAM,PCI Express SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,HD,"ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,1 x HDMI,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4), 3 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,1.85,2.19cm,35.1cm,24.5cm,3097
