name,value,priority,constraint_no
price,2758.0,5,19
camera,False,3,19
brand,hp|microsoft|msi|acer,3,19
screen_size,12.4,2,19
screen_size,14.0,4,20
price,3893.02,2,20
storage,256,2,20
os,os,4,20
ram,4,3,20
camera,True,5,21
cpu,ryzen 5,3,21
os,os,3,21
price,7435.1,2,21
brand,hp|dell|huawei,5,22
storage,256,1,22
ram,4,4,22
camera,True,1,22
weight,1.2,1,22
price,2272.34,4,22
ram,4,5,23
price,4513.58,5,23
camera,False,1,23
weight,0.83,1,23
cpu,ryzen 3,5,23
brand,hp|lenovo|dell,4,23
screen_size,14.1,3,23
os,10,3,24
price,7099.0,5,24
ram,8,5,24
cpu,i7|i5,1,24
camera,False,5,24
weight,1.28,1,24
storage,1024,2,24
brand,dell,4,24
camera,True,3,25
cpu,i5,1,25
os,11,4,25
screen_size,15.24,1,25
ram,8,5,25
price,3518.65,3,25
screen_size,13.09,5,26
os,os,1,26
price,4599.0,3,26
storage,512,5,26
ram,8,1,26
camera,False,4,27
ram,32,4,27
screen_size,16.28,4,27
os,os,3,27
storage,256,1,27
cpu,ryzen 5|i5,2,27
brand,lenovo|microsoft,1,27
camera,True,5,28
storage,512,4,28
ram,32,5,28
weight,1.35,3,28
os,10,2,28
cpu,i3,4,28
price,3395.68,1,29
storage,256,4,29
brand,asus,1,29
cpu,ryzen 3,1,29
screen_size,15.6,4,29
camera,True,1,29
os,os,5,29
cpu,i5|ryzen 7,2,30
brand,hp|acer|asus,1,30
ram,16,5,30
camera,True,4,30
os,10,3,30
storage,256,2,30
screen_size,16.09,2,30
price,4035.76,5,30
storage,512,1,31
brand,acer|msi|huawei,3,31
screen_size,15.56,2,31
ram,8,4,31
weight,1.73,5,31
camera,True,2,31
os,11,4,31
price,5999.0,4,31
weight,1.69,4,32
ram,8,4,32
os,10,4,32
brand,huawei|hp|msi,2,32
os,11,3,33
storage,256,3,33
weight,1.87,1,33
brand,microsoft|msi|hp|dell,3,33
cpu,athlon|ryzen 3,5,33
camera,False,1,34
storage,256,5,34
os,11,1,34
ram,4,4,34
brand,acer|dell|asus|lenovo,2,34
price,1730.12,4,34
weight,1.27,2,35
storage,1024,1,35
price,2197.0,5,35
screen_size,14.68,1,35
os,11,1,35
brand,msi|hp|microsoft,2,35
ram,8,2,35
ram,8,3,36
weight,1.69,1,36
os,10,4,36
screen_size,16.08,2,36
price,1799.0,1,36
camera,True,1,36
weight,2.47,4,37
screen_size,16.07,1,37
storage,1024,4,37
ram,4,2,37
price,4317.43,3,37
os,11,2,37
camera,False,1,37
brand,hp|msi,2,37
weight,2.55,2,38
storage,256,5,38
screen_size,16.67,4,38
os,10,3,38
camera,True,4,38
ram,4,4,38
brand,hp|msi,3,39
camera,True,5,39
storage,512,3,39
ram,8,1,39
cpu,ryzen 3,2,39
screen_size,14.0,4,39
os,os,1,39
weight,1.44,2,40
storage,256,2,40
screen_size,13.31,4,40
ram,8,5,40
cpu,ryzen 7|ryzen 5,5,40
camera,False,1,40
os,11,2,41
camera,False,2,41
ram,8,2,41
storage,512,5,41
brand,msi,5,41
price,3299.0,4,42
os,11,3,42
brand,msi|microsoft|hp,2,42
storage,1024,3,42
screen_size,14.0,4,42
screen_size,13.4,1,43
os,10,3,43
camera,True,2,43
price,5653.56,5,43
cpu,i3,3,43
weight,1.21,2,43
ram,8,5,43
weight,1.52,2,44
cpu,ryzen 3|i5,1,44
camera,True,3,44
price,4209.38,4,44
screen_size,15.6,4,44
ram,8,5,44
screen_size,14.68,1,45
camera,True,4,45
storage,512,3,45
ram,8,2,45
weight,1.47,5,45
storage,256,3,46
screen_size,14.0,1,46
cpu,i5,5,46
weight,0.87,5,46
brand,dell|huawei,1,46
os,11,4,46
ram,4,5,46
screen_size,13.5,3,47
weight,1.22,4,47
os,10,4,47
camera,True,5,47
cpu,ryzen 7,3,47
storage,256,5,47
weight,1.0,5,48
price,3497.0,4,48
brand,lenovo|hp|dell|microsoft,1,48
ram,16,2,48
brand,huawei|microsoft|asus|msi,3,49
weight,1.49,4,49
os,10,3,49
camera,False,1,49
ram,4,1,50
storage,1024,3,50
weight,1.0,5,50
screen_size,13.48,4,50
os,11,1,50
price,2901.04,5,50
camera,False,5,50
cpu,ryzen 7,5,51
os,os,4,51
screen_size,14.91,2,51
brand,msi,4,51
price,4939.78,5,51
camera,True,4,51
screen_size,13.95,4,52
ram,16,3,52
price,5847.71,1,52
storage,512,5,52
weight,1.53,2,52
price,3294.93,5,53
brand,asus,4,53
camera,True,1,53
os,10,3,53
weight,1.38,3,53
ram,16,3,53
os,10,5,54
storage,1024,5,54
cpu,i3|ryzen 3,1,54
ram,8,3,54
camera,False,4,54
brand,acer|dell,1,54
price,3897.53,5,54
screen_size,16.1,5,54
price,1574.93,4,55
os,11,1,55
screen_size,14.3,2,55
brand,asus|dell|msi,4,55
storage,512,2,55
camera,False,4,55
ram,8,1,55
weight,1.5,2,55
os,11,4,56
camera,True,5,56
ram,4,1,56
storage,256,3,56
brand,acer|asus|msi,5,56
weight,1.58,5,57
screen_size,14.0,2,57
price,418.71,5,57
os,os,2,57
camera,True,5,57
storage,512,5,57
ram,2,2,57
brand,microsoft,1,57
storage,128,5,58
brand,acer|hp|msi,5,58
cpu,i3|ryzen 3,5,58
weight,1.69,4,58
camera,False,1,58
os,os,4,59
price,4296.3,4,59
storage,1024,1,59
camera,False,3,59
screen_size,13.58,1,59
weight,1.32,5,59
ram,4,2,59
cpu,ryzen 5|i3,2,60
camera,True,1,60
os,os,4,60
price,2733.74,3,60
screen_size,13.71,3,60
weight,1.79,4,60
ram,2,2,60
screen_size,15.6,5,61
ram,8,2,61
storage,1024,5,61
brand,huawei,1,61
weight,2.2,1,61
os,10,4,61
screen_size,15.82,1,62
os,11,5,62
weight,2.0,1,62
storage,1024,2,62
brand,asus,1,62
camera,False,5,62
brand,huawei|lenovo|msi|hp,1,63
weight,1.62,1,63
camera,False,2,63
ram,2,5,63
storage,512,5,63
screen_size,15.16,4,63
price,1458.71,5,63
price,4008.15,4,64
screen_size,14.59,1,64
brand,huawei|hp|msi,5,64
os,11,5,64
camera,False,4,65
ram,2,2,65
price,1699.0,5,65
brand,lenovo|asus,1,65
screen_size,15.51,1,65
weight,1.7,2,65
storage,256,3,65
os,10,2,65
storage,256,4,66
cpu,ryzen 3,2,66
os,10,1,66
camera,False,3,66
price,3346.57,5,66
weight,1.1,1,66
brand,lenovo|hp|asus|huawei,5,66
ram,2,4,66
storage,512,4,67
price,2022.93,3,67
ram,4,3,67
screen_size,14.0,4,67
camera,False,1,68
cpu,i7|ryzen 5,4,68
os,11,2,68
weight,2.3,4,68
price,6697.0,3,68
brand,hp|msi,3,68
price,1297.15,3,69
storage,512,2,69
weight,1.61,5,69
camera,True,5,69
os,10,4,69
price,6699.0,5,70
os,11,4,70
brand,acer|msi,4,70
cpu,i7|ryzen 7,3,70
camera,True,5,70
ram,8,3,70
brand,dell|msi,4,71
os,11,5,71
storage,512,1,71
ram,32,3,71
cpu,i5|ryzen 5,4,71
camera,False,2,71
screen_size,18.01,5,71
weight,2.9,1,71
brand,dell|microsoft|asus|msi,1,72
os,11,3,72
screen_size,14.62,1,72
weight,1.47,3,72
screen_size,14.0,1,73
ram,16,5,73
os,os,1,73
camera,True,4,73
cpu,ryzen 3,1,73
price,4038.33,1,73
brand,acer|microsoft|huawei,1,73
storage,512,1,73
screen_size,14.45,3,74
os,10,5,74
camera,False,3,74
ram,4,5,74
price,4999.0,5,74
cpu,i3,4,74
storage,1024,3,75
weight,1.74,5,75
os,10,4,75
camera,True,3,75
screen_size,16.04,4,75
brand,microsoft|acer|asus,3,75
ram,16,4,75
weight,1.3,2,76
brand,acer,4,76
camera,False,5,76
os,11,3,77
cpu,ryzen 7|ryzen 5,5,77
camera,False,5,77
storage,1024,5,77
screen_size,13.3,2,77
price,4456.31,1,78
ram,16,1,78
storage,1024,4,78
os,os,1,78
camera,True,1,78
price,6423.56,5,79
camera,True,1,79
screen_size,13.52,3,79
os,os,2,79
weight,1.62,5,79
cpu,i5|i3,3,79
storage,1024,1,79
os,10,2,80
weight,2.28,3,80
screen_size,15.6,1,80
cpu,ryzen 3,5,80
brand,acer|microsoft,4,80
ram,8,2,80
ram,8,4,81
camera,True,2,81
os,10,1,81
brand,lenovo|acer|msi|asus,3,81
screen_size,16.2,5,81
price,1395.54,4,81
cpu,ryzen 5|i5,5,82
screen_size,15.6,2,82
price,4028.33,1,82
camera,True,5,82
brand,hp|asus|msi|lenovo,4,82
ram,8,1,82
os,11,3,83
ram,16,3,83
brand,lenovo|msi,5,83
screen_size,16.25,3,83
price,4760.32,3,83
camera,False,2,83
weight,2.33,3,83
cpu,i7|ryzen 7,5,83
screen_size,14.5,1,84
storage,128,5,84
camera,False,1,84
price,1799.0,5,84
ram,8,2,84
weight,1.65,5,84
os,10,4,84
ram,16,5,85
camera,True,5,85
storage,256,2,85
screen_size,14.56,4,85
weight,1.2,3,85
price,3561.63,1,85
os,11,3,85
brand,lenovo|dell|hp|huawei,2,85
camera,False,3,86
brand,dell|acer|msi,4,86
price,3657.04,4,86
weight,1.38,2,86
cpu,i5|ryzen 5,2,86
storage,512,1,86
os,11,5,87
storage,512,1,87
screen_size,14.0,3,87
brand,asus|dell|microsoft,2,87
price,961.41,2,87
ram,16,1,88
brand,acer|huawei|asus,2,88
storage,1024,4,88
screen_size,13.39,4,88
os,11,3,88
price,6395.01,4,88
weight,1.34,3,88
cpu,i7|ryzen 7,3,88
ram,8,2,89
brand,microsoft|msi|huawei|lenovo,5,89
price,3979.3,4,89
storage,256,3,89
camera,True,2,90
storage,512,5,90
os,11,5,90
brand,huawei,2,90
screen_size,14.1,4,90
weight,1.19,5,90
ram,8,1,90
price,4129.02,5,91
os,11,4,91
ram,8,3,91
brand,dell,5,91
weight,1.61,5,91
brand,acer|hp,5,92
ram,4,1,92
camera,True,5,92
screen_size,15.46,4,92
weight,1.86,2,92
price,1625.0,3,92
storage,256,1,92
cpu,pentium|ryzen 3,3,93
weight,1.8,4,93
os,10,1,93
camera,False,4,93
brand,microsoft,1,93
storage,512,3,93
ram,4,5,93
storage,256,3,94
screen_size,13.3,4,94
cpu,i5|i3,3,94
camera,False,1,94
brand,dell|huawei|lenovo,3,94
weight,1.33,3,94
os,11,2,94
camera,False,5,95
cpu,ryzen 5,5,95
brand,huawei,1,95
storage,256,4,95
price,3559.0,2,95
os,os,3,96
screen_size,15.47,5,96
weight,1.83,1,96
brand,hp,2,96
price,1948.79,1,96
cpu,ryzen 5,4,96
cpu,ryzen 3|i5,2,97
os,10,5,97
weight,1.46,1,97
storage,1024,3,97
screen_size,15.43,3,97
price,1977.29,4,97
ram,8,2,97
camera,False,2,97
os,11,5,98
price,3089.48,4,98
screen_size,16.15,1,98
ram,8,2,98
brand,lenovo|microsoft|acer,2,99
ram,2,4,99
camera,False,2,99
screen_size,14.09,1,99
weight,1.5,2,99
price,1699.0,1,99
storage,256,2,99
ram,4,1,100
weight,1.01,2,100
brand,hp|acer|msi|asus,2,100
camera,False,3,100
storage,256,2,100
cpu,ryzen 5,2,100
storage,256,5,101
os,11,3,101
price,3279.11,1,101
ram,16,4,101
weight,2.0,2,101
weight,1.9,5,102
price,6999.0,3,102
screen_size,15.55,5,102
brand,microsoft|acer,4,102
camera,True,1,103
storage,1024,3,103
ram,4,1,103
screen_size,15.6,2,103
brand,asus|hp|msi|huawei,2,103
brand,dell,3,104
os,10,5,104
screen_size,16.31,4,104
ram,16,1,104
cpu,ryzen 5|i7,4,104
os,11,5,105
camera,False,5,105
brand,acer,5,105
storage,512,3,105
ram,16,4,105
screen_size,14.0,1,105
price,4144.0,2,105
weight,1.36,1,105
weight,1.33,4,106
camera,False,1,106
brand,microsoft|lenovo|dell,1,106
storage,512,5,106
screen_size,13.38,1,106
os,10,3,106
storage,512,3,107
ram,16,3,107
os,11,1,107
camera,False,2,107
screen_size,13.89,1,107
weight,1.53,2,107
price,2125.42,2,107
storage,512,1,108
os,os,3,108
screen_size,15.24,4,108
camera,True,3,108
ram,16,1,108
weight,1.89,2,108
weight,2.45,1,109
cpu,i5|i7,4,109
price,4266.99,1,109
storage,512,1,109
brand,acer|microsoft|asus|dell,2,109
screen_size,15.63,2,109
camera,True,3,109
weight,1.7,2,110
screen_size,15.6,4,110
ram,16,1,110
storage,512,5,110
camera,True,5,110
price,3559.0,5,110
brand,dell|huawei|msi|acer,3,110
weight,1.24,4,111
storage,1024,5,111
price,5092.77,1,111
ram,16,2,111
os,11,2,111
screen_size,13.3,2,111
brand,huawei|hp|lenovo,4,111
screen_size,16.1,4,112
ram,8,2,112
os,os,1,112
camera,False,2,112
storage,512,4,112
storage,256,5,113
ram,4,4,113
brand,lenovo|dell|hp|acer,3,113
weight,1.79,4,113
camera,True,2,113
price,5154.5,2,113
brand,huawei|hp|dell|acer,2,114
ram,4,2,114
weight,2.04,1,114
camera,True,1,114
price,4346.1,3,114
brand,huawei,5,115
price,3941.52,2,115
cpu,ryzen 3,3,115
storage,512,5,115
weight,1.96,1,115
camera,True,1,115
os,11,3,115
screen_size,15.82,5,115
os,10,1,116
price,2699.0,4,116
camera,False,4,116
brand,msi|microsoft|asus|hp,3,116
screen_size,15.6,4,116
os,10,4,117
screen_size,14.0,2,117
weight,1.44,5,117
price,1497.0,1,117
camera,False,1,117
storage,512,2,118
brand,lenovo,5,118
ram,8,1,118
price,3527.0,1,118
weight,1.08,2,118
camera,True,4,118
brand,microsoft|msi|acer|huawei,1,119
screen_size,15.6,5,119
weight,2.15,3,119
ram,16,4,119
storage,256,4,119
camera,True,2,120
price,7982.43,3,120
weight,1.45,3,120
cpu,ryzen 5,1,120
screen_size,14.0,2,120
ram,16,1,120
brand,lenovo|microsoft,5,120
storage,256,2,120
os,os,2,121
camera,True,3,121
screen_size,14.49,5,121
cpu,i3,1,121
weight,1.23,2,121
price,2499.0,1,122
cpu,athlon|i3,5,122
os,11,4,122
brand,lenovo|dell,2,122
storage,1024,4,122
weight,1.69,5,123
cpu,i5,4,123
storage,256,5,123
camera,True,4,123
brand,huawei|microsoft|dell|lenovo,3,123
screen_size,14.0,4,123
ram,8,5,123
weight,1.33,5,124
os,11,4,124
ram,4,2,124
brand,asus|acer|microsoft,1,124
screen_size,14.41,4,124
camera,False,4,124
os,os,2,125
screen_size,13.94,3,125
camera,False,5,125
weight,1.0,3,125
storage,256,5,125
camera,True,1,126
brand,dell|lenovo|asus,3,126
cpu,ryzen 5,5,126
storage,1024,4,126
ram,4,2,126
price,4662.33,1,126
os,11,2,126
os,os,2,127
price,1976.53,2,127
storage,512,5,127
weight,1.59,2,127
brand,acer|lenovo|asus,5,127
ram,4,5,128
cpu,i3|i5,5,128
storage,512,2,128
screen_size,13.93,3,128
brand,acer|microsoft|dell,2,128
price,3599.0,2,128
os,os,4,128
camera,True,4,128
storage,1024,1,129
screen_size,14.54,2,129
brand,microsoft,2,129
price,2731.98,3,129
os,11,1,129
screen_size,11.58,2,130
price,1899.0,3,130
weight,1.25,2,130
ram,16,4,130
os,os,4,131
price,3449.12,5,131
weight,1.98,1,131
ram,8,4,131
brand,dell|huawei|asus,1,131
storage,256,3,132
brand,msi|asus,1,132
ram,4,4,132
camera,False,4,132
os,11,3,132
price,2911.6,2,132
screen_size,16.35,3,132
weight,1.44,4,133
camera,True,3,133
price,7341.5,5,133
storage,256,2,133
cpu,i7|i5,2,133
os,11,2,133
weight,1.45,5,134
ram,8,3,134
camera,True,3,134
brand,hp|huawei|dell|asus,3,134
screen_size,11.6,5,134
storage,64,5,134
storage,256,2,135
brand,acer|lenovo|microsoft|dell,1,135
price,7399.0,2,135
ram,32,4,135
screen_size,14.07,2,135
cpu,i5,1,135
weight,1.93,4,135
price,9574.4,3,136
brand,asus|lenovo|dell|hp,3,136
camera,True,5,136
os,11,4,136
cpu,ryzen 5|ryzen 7,4,136
storage,1024,3,136
weight,1.8,4,136
screen_size,14.4,3,136
